year,sport,percent_women
1992,Modern Pentathlon,0
1992,Weightlifting,0
1992,Boxing,0
1992,Baseball,0
1992,Water Polo,0
1972,Gymnastics,0.5108225108225108
1972,Athletics,0.2774436090225564
1972,Fencing,0.2181208053691275
1972,Equestrianism,0.17318435754189945
1972,Archery,0.42105263157894735
1972,Swimming,0.4605263157894737
1972,Canoeing,0.1696969696969697
1972,Shooting,0.010075566750629723
1972,Volleyball,0.3939393939393939
1972,Diving,0.45054945054945056
1972,Sailing,0
1972,Boxing,0
1972,Football,0
1972,Basketball,0
1972,Cycling,0
1972,Wrestling,0
1972,Rowing,0
1972,Handball,0
1972,Judo,0
1972,Weightlifting,0
1972,Hockey,0
1972,Water Polo,0
1972,Modern Pentathlon,0
1960,Gymnastics,0.4881889763779528
1960,Diving,0.3466666666666667
1960,Athletics,0.20078740157480315
1960,Swimming,0.3819628647214854
1960,Fencing,0.22941176470588234
1960,Canoeing,0.16184971098265896
1960,Equestrianism,0.050314465408805034
1960,Sailing,0.0034482758620689655
1960,Shooting,0
1960,Weightlifting,0
1960,Football,0
1960,Boxing,0
1960,Rowing,0
1960,Water Polo,0
1960,Hockey,0
1960,Wrestling,0
1960,Basketball,0
1960,Cycling,0
1960,Modern Pentathlon,0
1948,Athletics,0.1935483870967742
1948,Fencing,0.13310580204778158
1948,Swimming,0.36213991769547327
1948,Gymnastics,0.41706161137440756
1948,Canoeing,0.09090909090909091
1948,Diving,0.38095238095238093
1948,Art Competitions,0.16158536585365854
1948,Shooting,0
1948,Boxing,0
1948,Wrestling,0
1948,Water Polo,0
1948,Hockey,0
1948,Football,0
1948,Basketball,0
1948,Rowing,0
1948,Equestrianism,0
1948,Cycling,0
1948,Weightlifting,0
1948,Sailing,0
1948,Modern Pentathlon,0
1956,Swimming,0.42857142857142855
1956,Athletics,0.20416666666666666
1956,Gymnastics,0.5078125
1956,Diving,0.45
1956,Fencing,0.1402439024390244
1956,Equestrianism,0.08227848101265822
1956,Canoeing,0.08849557522123894
1956,Shooting,0
1956,Cycling,0
1956,Weightlifting,0
1956,Hockey,0
1956,Boxing,0
1956,Water Polo,0
1956,Football,0
1956,Rowing,0
1956,Basketball,0
1956,Wrestling,0
1956,Sailing,0
1956,Modern Pentathlon,0
1976,Rowing,0.3456998313659359
1976,Athletics,0.30119284294234594
1976,Swimming,0.4416135881104034
1976,Archery,0.421875
1976,Fencing,0.2517985611510791
1976,Handball,0.3374485596707819
1976,Equestrianism,0.17777777777777778
1976,Basketball,0.3380281690140845
1976,Volleyball,0.4444444444444444
1976,Gymnastics,0.48863636363636365
1976,Diving,0.4875
1976,Canoeing,0.15918367346938775
1976,Sailing,0.0038910505836575876
1976,Shooting,0.023255813953488372
1976,Weightlifting,0
1976,Boxing,0
1976,Football,0
1976,Water Polo,0
1976,Wrestling,0
1976,Cycling,0
1976,Hockey,0
1976,Modern Pentathlon,0
1976,Judo,0
1964,Volleyball,0.37988826815642457
1964,Gymnastics,0.38967136150234744
1964,Fencing,0.2204724409448819
1964,Athletics,0.2318271119842829
1964,Diving,0.425
1964,Swimming,0.400990099009901
1964,Canoeing,0.18620689655172415
1964,Sailing,0.0044444444444444444
1964,Equestrianism,0.11206896551724138
1964,Wrestling,0
1964,Weightlifting,0
1964,Rowing,0
1964,Water Polo,0
1964,Hockey,0
1964,Football,0
1964,Boxing,0
1964,Cycling,0
1964,Modern Pentathlon,0
1964,Basketball,0
1964,Shooting,0
1964,Judo,0
1952,Gymnastics,0.4200626959247649
1952,Swimming,0.38064516129032255
1952,Athletics,0.1943866943866944
1952,Fencing,0.12937062937062938
1952,Canoeing,0.08176100628930817
1952,Diving,0.32894736842105265
1952,Equestrianism,0.029850746268656716
1952,Sailing,0.013215859030837005
1952,Shooting,0
1952,Basketball,0
1952,Water Polo,0
1952,Weightlifting,0
1952,Boxing,0
1952,Hockey,0
1952,Rowing,0
1952,Football,0
1952,Wrestling,0
1952,Modern Pentathlon,0
1952,Cycling,0
1924,Art Competitions,0.1111111111111111
1924,Diving,0.35714285714285715
1924,Fencing,0.10548523206751055
1924,Tennis,0.28225806451612906
1924,Swimming,0.3181818181818182
1924,Sailing,0.015384615384615385
1924,Athletics,0
1924,Cycling,0
1924,Boxing,0
1924,Football,0
1924,Shooting,0
1924,Weightlifting,0
1924,Wrestling,0
1924,Rowing,0
1924,Equestrianism,0
1924,Water Polo,0
1924,Rugby,0
1924,Modern Pentathlon,0
1924,Polo,0
1924,Gymnastics,0
1968,Athletics,0.23615160349854228
1968,Gymnastics,0.463302752293578
1968,Diving,0.4444444444444444
1968,Swimming,0.4358974358974359
1968,Volleyball,0.4223300970873786
1968,Fencing,0.21323529411764705
1968,Canoeing,0.15760869565217392
1968,Equestrianism,0.176
1968,Shooting,0.008547008547008548
1968,Sailing,0
1968,Boxing,0
1968,Rowing,0
1968,Cycling,0
1968,Wrestling,0
1968,Football,0
1968,Basketball,0
1968,Hockey,0
1968,Modern Pentathlon,0
1968,Weightlifting,0
1968,Water Polo,0
1936,Swimming,0.3795918367346939
1936,Diving,0.43478260869565216
1936,Fencing,0.13355048859934854
1936,Athletics,0.12628865979381443
1936,Art Competitions,0.05904761904761905
1936,Gymnastics,0.3657142857142857
1936,Sailing,0.01744186046511628
1936,Alpinism,0.5
1936,Shooting,0
1936,Modern Pentathlon,0
1936,Rowing,0
1936,Water Polo,0
1936,Hockey,0
1936,Boxing,0
1936,Equestrianism,0
1936,Cycling,0
1936,Weightlifting,0
1936,Basketball,0
1936,Handball,0
1936,Wrestling,0
1936,Football,0
1936,Polo,0
1936,Canoeing,0
1936,Aeronautics,0
1928,Athletics,0.13494318181818182
1928,Fencing,0.10465116279069768
1928,Gymnastics,0.3888888888888889
1928,Art Competitions,0.10270270270270271
1928,Diving,0.3770491803278688
1928,Swimming,0.42105263157894735
1928,Sailing,0.015748031496062992
1928,Football,0
1928,Water Polo,0
1928,Hockey,0
1928,Weightlifting,0
1928,Cycling,0
1928,Wrestling,0
1928,Rowing,0
1928,Equestrianism,0
1928,Boxing,0
1928,Modern Pentathlon,0
1912,Swimming,0.2523364485981308
1912,Diving,0.23636363636363636
1912,Tennis,0.1625
1912,Athletics,0
1912,Fencing,0
1912,Sailing,0
1912,Wrestling,0
1912,Gymnastics,0
1912,Art Competitions,0
1912,Water Polo,0
1912,Shooting,0
1912,Equestrianism,0
1912,Modern Pentathlon,0
1912,Rowing,0
1912,Football,0
1912,Cycling,0
1912,Tug-Of-War,0
1908,Tennis,0.20408163265306123
1908,Archery,0.43859649122807015
1908,Motorboating,0.07142857142857142
1908,Figure Skating,0.3333333333333333
1908,Sailing,0.015625
1908,Gymnastics,0
1908,Fencing,0
1908,Boxing,0
1908,Athletics,0
1908,Wrestling,0
1908,Diving,0
1908,Football,0
1908,Lacrosse,0
1908,Hockey,0
1908,Tug-Of-War,0
1908,Shooting,0
1908,Cycling,0
1908,Swimming,0
1908,Water Polo,0
1908,Racquets,0
1908,Rowing,0
1908,Rugby,0
1908,Jeu De Paume,0
1908,Polo,0
1920,Diving,0.3333333333333333
1920,Tennis,0.3108108108108108
1920,Figure Skating,0.46153846153846156
1920,Swimming,0.25263157894736843
1920,Art Competitions,0.09090909090909091
1920,Sailing,0.009900990099009901
1920,Football,0
1920,Gymnastics,0
1920,Athletics,0
1920,Wrestling,0
1920,Boxing,0
1920,Shooting,0
1920,Equestrianism,0
1920,Cycling,0
1920,Fencing,0
1920,Archery,0
1920,Polo,0
1920,Weightlifting,0
1920,Water Polo,0
1920,Rowing,0
1920,Tug-Of-War,0
1920,Ice Hockey,0
1920,Hockey,0
1920,Modern Pentathlon,0
1920,Rugby,0
1904,Archery,0.20689655172413793
1904,Rowing,0
1904,Golf,0
1904,Swimming,0
1904,Athletics,0
1904,Lacrosse,0
1904,Gymnastics,0
1904,Cycling,0
1904,Wrestling,0
1904,Football,0
1904,Water Polo,0
1904,Tennis,0
1904,Boxing,0
1904,Tug-Of-War,0
1904,Diving,0
1904,Roque,0
1904,Fencing,0
1904,Weightlifting,0
1906,Tennis,0.23076923076923078
1906,Football,0
1906,Gymnastics,0
1906,Athletics,0
1906,Rowing,0
1906,Cycling,0
1906,Swimming,0
1906,Weightlifting,0
1906,Diving,0
1906,Fencing,0
1906,Tug-Of-War,0
1906,Wrestling,0
1906,Shooting,0
1896,Tennis,0
1896,Athletics,0
1896,Swimming,0
1896,Gymnastics,0
1896,Shooting,0
1896,Cycling,0
1896,Fencing,0
1896,Weightlifting,0
1896,Wrestling,0
